HostGroup,VirusGenotype,DVGness,DVG_segment
Landfowl (Galliformes),D1.1,0.3165,DVGs_max
Landfowl (Galliformes),D1.1,0.3257,DVGs_max
Landfowl (Galliformes),D1.1,0.19899999999999998,DVGs_max
Landfowl (Galliformes),D1.1,0.4668,DVGs_max
Landfowl (Galliformes),D1.1,0.8144,DVGs_max
Landfowl (Galliformes),D1.1,0.1376,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0108,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0304,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0051,DVGs_max
Waterfowl (Anseriformes),B3.13,0.4797,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0084,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0535,DVGs_max
Waterfowl (Anseriformes),B3.13,0.2623,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0317,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0046,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0258,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0152,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0054,DVGs_max
Waterfowl (Anseriformes),B3.13,0.9568000000000001,DVGs_max
Waterfowl (Anseriformes),B3.13,0.011699999999999999,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0059,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0076,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0054,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0078000000000000005,DVGs_max
Waterfowl (Anseriformes),B3.13,0.008100000000000001,DVGs_max
Waterfowl (Anseriformes),B3.13,0.018500000000000003,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0125,DVGs_max
Waterfowl (Anseriformes),B3.13,0.0146,DVGs_max
Waterfowl (Anseriformes),D1.1,0.16670000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0596,DVGs_max
Waterfowl (Anseriformes),D1.1,0.36119999999999997,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8946999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.16449999999999998,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1231,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0524,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0992,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0352,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5351,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8169,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9281,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8151,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3386,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8643000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0012,DVGs_max
Waterfowl (Anseriformes),D1.1,0.006500000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.060599999999999994,DVGs_max
Waterfowl (Anseriformes),D1.1,0.23260000000000003,DVGs_max
Waterfowl (Anseriformes),D1.1,0.784,DVGs_max
Waterfowl (Anseriformes),D1.1,0.12960000000000002,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0104,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0176,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1222,DVGs_max
